name,run,antibody,HA,ug/ml_Ab,libfracsurvive
WSN-L1-FI6v3-100ng-ml-r1,SRR5930379,FI6v3,WSN,0.1,0.01662
WSN-L1-FI6v3-100ng-ml-r2,SRR5930376,FI6v3,WSN,0.1,0.0139
WSN-L1-FI6v3-200ng-ml-r1,SRR5930378,FI6v3,WSN,0.2,0.00465
WSN-L1-FI6v3-200ng-ml-r2,SRR5930383,FI6v3,WSN,0.2,0.00345
WSN-L2-FI6v3-100ng-ml,SRR5930381,FI6v3,WSN,0.1,0.02322
WSN-L2-FI6v3-200ng-ml,SRR5930380,FI6v3,WSN,0.2,0.00278
WSN-L3-FI6v3-100ng-ml,SRR5930384,FI6v3,WSN,0.1,0.00903
WSN-L3-FI6v3-200ng-ml,SRR5930375,FI6v3,WSN,0.2,0.00144
WSN-L1-mock-r1-A,SRR4841578,none,WSN,0.0,1.0
WSN-L1-mock-r2-A,SRR4841581,none,WSN,0.0,1.0
WSN-L2-mock-A,SRR4841580,none,WSN,0.0,1.0
WSN-L3-mock-A,SRR4841582,none,WSN,0.0,1.0
WSN-L1-mock-r1-B,SRR6117000,none,WSN,0.0,1.0
WSN-L1-mock-r2-B,SRR6117001,none,WSN,0.0,1.0
WSN-L2-mock-B,SRR6117002,none,WSN,0.0,1.0
WSN-L3-mock-B,SRR6117003,none,WSN,0.0,1.0
WSN-WTplasmid-A,SRR6116999,none,WSN,0.0,1.0
WSN-L1-CR9114-100ng-ml,SRR7971680,CR9114,WSN,0.1,0.00204
WSN-L1-CR9114-70ng-ml,SRR7971679,CR9114,WSN,0.07,0.005
WSN-L1-CR9114-50ng-ml,SRR7971682,CR9114,WSN,0.05,0.01018
WSN-L2-CR9114-100ng-ml,SRR7971681,CR9114,WSN,0.1,0.00186
WSN-L2-CR9114-70ng-ml,SRR7971676,CR9114,WSN,0.07,0.00443
WSN-L2-CR9114-50ng-ml,SRR7971675,CR9114,WSN,0.05,0.00949
WSN-L3-CR9114-100ng-ml,SRR7971678,CR9114,WSN,0.1,0.00168
WSN-L3-CR9114-70ng-ml,SRR7971677,CR9114,WSN,0.07,0.00274
WSN-L3-CR9114-50ng-ml,SRR7971684,CR9114,WSN,0.05,0.00684
WSN-L1-mock-C,SRR7971692,none,WSN,0.0,1.0
WSN-L2-mock-C,SRR7971691,none,WSN,0.0,1.0
WSN-L3-mock-C,SRR7971690,none,WSN,0.0,1.0
WSN-WTplasmid-B,SRR7971689,none,WSN,0.0,1.0
Perth-L2-FI6v3-5ug-ml,SRR7971688,FI6v3,Perth,5.0,0.07399
Perth-L2-FI6v3-12ug-ml,SRR7971687,FI6v3,Perth,12.0,0.04329
Perth-L2mock,SRR7971686,none,Perth,0.0,1.0
Perth-WTplasmid,SRR7971685,none,Perth,0.0,1.0
Perth-L1-FI6v3-15ug-ml,SRR7971694,FI6v3,Perth,15.0,0.06218
Perth-L3-FI6v3-15ug-ml,SRR7971693,FI6v3,Perth,15.0,0.06864
Perth-L3-FI6v3-13ug-ml,SRR7971673,FI6v3,Perth,13.0,0.0618
Perth-L1mock,SRR7971674,none,Perth,0.0,1.0
Perth-L3mock,SRR7971672,none,Perth,0.0,1.0
